{ = Inicio
== = OperadorRelacional
== = OperadorRelacional
= = Asignacion
12345 = Numero
% = OperadorFactor
= = Asignacion
! = OperadorLogico
+ = OperadorTermino
+ = OperadorTermino
+ = OperadorTermino
- = OperadorTermino
- = OperadorTermino
- = OperadorTermino
# = Caracter
&& = OperadorLogico
|| = OperadorLogico
* = OperadorFactor
= = Asignacion
/ = OperadorFactor
= = Asignacion
== = OperadorRelacional
&& = OperadorLogico
|| = OperadorLogico
! = OperadorLogico
= = Asignacion
- = OperadorTermino
* = OperadorFactor
/ = OperadorFactor
% = OperadorFactor
+ = OperadorTermino
+ = OperadorTermino
- = OperadorTermino
- = OperadorTermino
+ = OperadorTermino
= = Asignacion
- = OperadorTermino
= = Asignacion
* = OperadorFactor
= = Asignacion
/ = OperadorFactor
= = Asignacion
% = OperadorFactor
= = Asignacion
radioDeLaCircunferencia = Identificador
= = Asignacion
45 = Numero
; = FinSentencia
} = Fin
￿ = Caracter
